video,category,gpu_memory,model,time_elapsed
audios/video3.mp3,2,0.4310431480407715,tiny,9.681610101999468
audios/video2.mp3,1,0.4319748878479004,tiny,2.398397074000968
audios/video1.mp3,1,0.4339795112609863,tiny,2.2525814380005613
audios/video6.mp3,3,0.4339795112609863,tiny,50.88858146799976
audios/video4.mp3,2,0.4339795112609863,tiny,12.023696296999333
audios/video5.mp3,3,0.4339795112609863,tiny,49.86133720599901
audios/video3.mp3,2,0.4600753784179687,base,11.353244228999756
audios/video2.mp3,1,0.4600753784179687,base,2.970696577000126
audios/video1.mp3,1,0.4600753784179687,base,1.2874461760002305
audios/video6.mp3,3,0.4619274139404297,base,55.74874775100034
audios/video4.mp3,2,0.4619274139404297,base,11.936300615998334
audios/video5.mp3,3,0.4619274139404297,base,59.34126078699956
audios/video3.mp3,2,1.377126693725586,small,25.29125078600009
audios/video2.mp3,1,1.377126693725586,small,5.304845311999088
audios/video1.mp3,1,1.377126693725586,small,2.133986951999759
audios/video6.mp3,3,1.377126693725586,small,91.3073612799999
audios/video4.mp3,2,1.377126693725586,small,20.963695802000075
audios/video5.mp3,3,1.377126693725586,small,93.82124407800076
audios/video3.mp3,2,4.278138160705566,medium,34.88884775599945
audios/video2.mp3,1,4.278138160705566,medium,9.857534877000944
audios/video1.mp3,1,4.278138160705566,medium,3.903418751000572
audios/video6.mp3,3,4.278138160705566,medium,157.7367368160012
audios/video4.mp3,2,4.278138160705566,medium,38.695978276999085
audios/video5.mp3,3,4.278138160705566,medium,181.7610777220016
audios/video3.mp3,2,8.760594367980957,large,69.28263511300065
audios/video2.mp3,1,8.760594367980957,large,15.884637819001
audios/video1.mp3,1,8.760594367980957,large,6.123665649000031
audios/video6.mp3,3,8.760594367980957,large,266.9091464440007
audios/video4.mp3,2,8.760594367980957,large,78.69065142300133
audios/video5.mp3,3,8.760594367980957,large,295.686660501
